g0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19	c20	
g134	0.17	1.93	-0.96	0.5	0.44	1.7	-4.1	0.04	1.0	0.16	0.52	0.31	-4.69	-0.32	-0.51	5.02	0.45	-0.04	0.36	1.07	
g135	-0.93	-5.34	-0.26	2.25	-0.84	1.94	-1.0	0.59	-0.07	-0.82	-1.18	-0.58	-3.65	0.15	1.88	0.73	2.96	0.72	0.45	-2.57	
g136	-1.56	0.74	0.86	-0.02	-0.16	-1.62	-2.0	1.65	-1.26	-1.0	0.37	0.68	2.47	0.19	0.3	-0.39	1.4	0.54	0.99	1.04	
g137	2.21	-2.98	-0.26	1.57	1.96	-1.19	0.25	0.51	0.52	-0.22	0.16	-0.2	0.23	2.17	1.88	-0.41	5.28	-0.41	0.29	0.97	
g138	-1.88	2.24	-3.36	1.24	3.03	0.19	-0.04	-2.25	1.68	1.61	0.67	0.34	-1.12	0.51	0.72	-0.67	1.09	0.53	1.04	1.52	
g139	0.03	3.09	-4.59	0.77	5.38	-1.42	0.85	-0.27	-3.01	-2.7	-0.16	2.89	5.56	-1.4	0.59	1.58	0.03	0.1	-0.55	0.54	
g140	0.32	-0.6	-0.27	0.74	1.19	-1.15	-0.92	-0.82	0.26	4.68	0.84	2.1	-0.85	-0.59	-0.91	-1.23	0.73	2.91	0.59	1.5	
g141	1.39	-2.95	0.31	-4.41	1.03	1.38	1.59	2.88	2.41	0.52	0.37	1.26	-2.6	1.23	-0.63	2.64	-3.31	-0.55	-2.29	-2.81	
g142	-3.14	-1.56	1.15	0.27	-0.04	-4.67	-5.41	-0.83	0.03	-0.44	-0.79	-0.31	0.23	-3.2	0.16	-2.11	-0.47	-0.06	-1.65	-1.19	
g143	-5.34	1.18	2.1	0.94	-2.05	2.56	-0.48	1.08	2.17	0.95	-0.67	1.11	-0.6	-0.44	-0.54	-2.06	0.44	-0.74	0.19	0.86	
